name,country,speed,price,max_devices,logging_policy,data_encryption,handshake_encryption,trial_available
Seedboxes.cc,Cyprus,5.0,14.24,2,no_logs,AES-256,RSA-2048,no
ShadeYou,Netherlands,5.0,2.17,5,no_logs,AES-256,RSA-2048,yes
SlickVPN,United States,5.0,4.0,5,no_logs,AES-256,RSA-2048,no
Smart DNS Proxy,Seychelles,5.0,2.91,5,no_logs,AES-256,RSA-2048,yes
SmartVPN,Morocco,5.0,6.66,1,partial_logs,AES-256,RSA-2048,no
Sonic.net,United States,5.0,5.5,1,no_logs,AES-256,RSA-2048,no
Steganos,Germany,5.0,4.17,1,no_logs,AES-256,RSA-2048,yes
StrongVPN,United States,5.0,4.99,1,no_logs,AES-256,RSA-2048,no
SumRando,Mauritius,0.0,10.0,1,partial_logs,AES-256,RSA-2048,yes
SunVPN,United States,5.0,8.33,2,partial_logs,AES-256,RSA-2048,no
SuperVPN,United States,0.0,20.0,5,no_logs,AES-256,RSA-2048,yes
SurfEasy,Canada,5.0,6.49,5,partial_logs,AES-256,RSA-2048,yes
SwitchVPN,India,5.0,4.95,5,partial_logs,AES-256,RSA-2048,no
TigerVPN,Slovakia,0.0,7.5,1,partial_logs,AES-256,RSA-2048,no
Torguard,United States,9.815000000000001,5.0,5,no_logs,Blowfish-128,RSA-2048,no
TorrentPrivacy,Seychelles,5.0,5.5,1,no_logs,AES-256,RSA-2048,no
TorVPN,United Kingdom,0.0,2.37,4,partial_logs,AES-256,RSA-4096,yes
TotalVPN,United States,5.0,5.99,3,partial_logs,AES-256,RSA-2048,yes
Trust.Zone,Seychelles,0.0,2.99,3,partial_logs,AES-256,RSA-4096,yes
TunnelBear,Canada,0.0,4.16,5,partial_logs,AES-256,RSA-4096,yes
Tunnelr,United States,0.0,5.0,5,no_logs,AES-256,RSA-2048,no
TVWhenAway,United Kingdom,5.0,4.98,1,no_logs,AES-256,RSA-2048,no
Unblock VPN,Czech Republic,5.0,4.09,1,partial_logs,AES-256,RSA-2048,yes
Unblock-Us,Barbados,5.0,4.16,1,no_logs,AES-256,RSA-2048,no
Unlocator,Denmark,5.0,4.17,25,partial_logs,AES-256,RSA-2048,yes
UnoTelly,Canada,5.0,4.93,1,partial_logs,AES-256,RSA-2048,yes
Unspyable,United States,5.0,6.67,1,no_logs,AES-256,RSA-4096,no
VikingVPN,United States,0.0,9.99,1,no_logs,AES-256,RSA-4096,no
VIP72,nan,5.0,22.09,1,no_logs,AES-256,RSA-2048,no
VPN Gate,Japan,0.0,0.0,25,partial_logs,AES-256,RSA-2048,yes
VPN Ghost,Canada,0.0,2.95,2,no_logs,AES-256,RSA-2048,yes
VPN Land,Canada,5.0,8.34,5,no_logs,AES-256,RSA-2048,no
VPN Master,United States,5.0,3.95,1,no_logs,AES-256,RSA-2048,no
VPN Shield,Poland,5.0,2.09,5,partial_logs,AES-256,RSA-2048,yes
VPN Unlimited,United States,5.0,2.0,5,partial_logs,AES-256,RSA-2048,no
VPN.ac,Romania,0.0,4.8,6,partial_logs,AES-256,RSA-4096,no
VPN.Asia,Belize,0.0,5.75,2,no_logs,AES-256,RSA-2048,yes
VPN.cc,Malta,5.0,6.99,2,no_logs,AES-256,RSA-2048,no
VPN.ht,Hong Kong,0.0,3.33,3,no_logs,AES-256,RSA-2048,no
VPN.sh,United Kingdom,5.0,4.28,1,partial_logs,AES-256,RSA-2048,no
VPN4All,Netherlands,0.0,11.83,1,no_logs,AES-256,RSA-2048,no
VPNArea,Bulgaria,5.0,4.92,5,no_logs,AES-256,RSA-2048,no
VPNAUS,Australia,5.0,5.99,1,no_logs,AES-256,RSA-2048,no
VPNBaron,Romania,5.0,4.99,3,partial_logs,AES-256,RSA-2048,no
VPNJack,United States,0.0,2.5,1,no_logs,AES-256,AES-256,yes
VPNMe,United States,5.0,3.34,5,no_logs,AES-256,RSA-2048,no
VPNSecure,Australia,0.0,7.5,10,no_logs,AES-256,RSA-2048,yes
VPNShazam,Israel,5.0,6.66,5,partial_logs,AES-256,RSA-2048,no
VPNTraffic,nan,5.0,2.92,1,no_logs,AES-256,RSA-2048,no
VPNTunnel,Sweden,5.0,2.99,5,no_logs,AES-256,RSA-2048,no
VyprVPN,Switzerland,0.0,8.33,2,partial_logs,AES-256,RSA-2048,yes
WASEL Pro,Netherlands,5.0,7.5,1,no_logs,AES-256,RSA-2048,yes
WifiMask,Netherlands,0.0,4.52,1,partial_logs,AES-256,RSA-4096,yes
WindScribe,Canada,0.0,7.5,25,partial_logs,AES-256,RSA-4096,yes
WiTopia,United States,0.0,5.84,1,partial_logs,AES-256,RSA-2048,no
WorldVPN,United Kingdom,5.0,4.95,5,partial_logs,AES-256,RSA-2048,yes
Zenmate,Germany,5.0,6.49,1,partial_logs,AES-256,RSA-2048,yes
ZoogTV,United Kingdom,5.0,4.68,5,partial_logs,AES-256,RSA-2048,yes
ZorroVPN,Seychelles,5.589,10.0,3,no_logs,AES-256,RSA-4096,no
ZPN,United Arab Emirates,5.0,5.99,5,no_logs,AES-256,RSA-2048,yes
